participant_id,model,sim_acc,ai_acc,hu_acc,ai_auc,hu_auc,epoch
1,alexnet,0.785,0.695,0.73,0.8889019931595707,0.7851978691019788,1
1,densenet161,0.815,0.785,0.73,0.8838690564360836,0.7851978691019788,1
1,googlenet,0.835,0.76,0.73,0.8947368421052632,0.7851978691019788,1
1,resnet152,0.785,0.765,0.73,0.8888888888888888,0.7851978691019788,1
1,vgg19,0.815,0.77,0.73,0.9175607001693958,0.7851978691019788,1
2,alexnet,0.815,0.705,0.81,0.8431301839163361,0.7953216374269005,1
2,densenet161,0.86,0.755,0.81,0.9117448303824841,0.7953216374269005,1
2,googlenet,0.815,0.745,0.81,0.8689301223845243,0.7953216374269005,1
2,resnet152,0.835,0.77,0.81,0.8658949745906268,0.7953216374269005,1
2,vgg19,0.83,0.77,0.81,0.8410502540937324,0.7953216374269005,1
4,alexnet,0.69,0.675,0.375,0.8613105413105415,0.5106666666666667,1
4,densenet161,0.76,0.76,0.375,0.8433388157894736,0.5106666666666667,1
4,googlenet,0.715,0.72,0.375,0.8893849206349207,0.5106666666666667,1
4,resnet152,0.74,0.73,0.375,0.9076610857432774,0.5106666666666667,1
4,vgg19,0.785,0.775,0.375,0.8898924731182796,0.5106666666666667,1
5,alexnet,0.875,0.745,0.86,0.8616923279378866,0.9462209302325582,1
5,densenet161,0.91,0.81,0.86,0.9228395061728395,0.9462209302325582,1
5,googlenet,0.91,0.78,0.86,0.8636363636363636,0.9462209302325582,1
5,resnet152,0.91,0.78,0.86,0.9286130536130536,0.9462209302325582,1
5,vgg19,0.925,0.82,0.86,0.8795731707317073,0.9462209302325582,1
6,alexnet,0.865,0.725,0.835,0.8109090909090909,0.8233532934131736,1
6,densenet161,0.88,0.835,0.835,0.8633641807294502,0.8233532934131736,1
6,googlenet,0.88,0.8,0.835,0.889375,0.8233532934131736,1
6,resnet152,0.86,0.77,0.835,0.9153020892151328,0.8233532934131736,1
6,vgg19,0.875,0.82,0.835,0.8765243902439024,0.8233532934131736,1
7,alexnet,0.77,0.655,0.71,0.8642548954530368,0.8196333171442447,1
7,densenet161,0.77,0.725,0.71,0.8614420062695924,0.8196333171442447,1
7,googlenet,0.76,0.705,0.71,0.877028489001082,0.8196333171442447,1
7,resnet152,0.745,0.72,0.71,0.8968253968253969,0.8196333171442447,1
7,vgg19,0.79,0.745,0.71,0.9132780629030135,0.8196333171442447,1
8,alexnet,0.845,0.66,0.835,0.7888814616755793,0.8130103429504627,1
8,densenet161,0.855,0.78,0.835,0.8513986013986014,0.8130103429504627,1
8,googlenet,0.87,0.75,0.835,0.836,0.8130103429504627,1
8,resnet152,0.87,0.75,0.835,0.9045333333333334,0.8130103429504627,1
8,vgg19,0.86,0.78,0.835,0.9019522144522145,0.8130103429504627,1
10,alexnet,0.875,0.695,0.855,0.8493926170538979,0.8182093163944344,1
10,densenet161,0.91,0.795,0.855,0.8706856879889554,0.8182093163944344,1
10,googlenet,0.88,0.735,0.855,0.8300603260171994,0.8182093163944344,1
10,resnet152,0.865,0.75,0.855,0.8669333333333333,0.8182093163944344,1
10,vgg19,0.92,0.835,0.855,0.8795136998729812,0.8182093163944344,1
11,alexnet,0.855,0.635,0.845,0.8461870348398232,0.9131513647642681,1
11,densenet161,0.875,0.79,0.845,0.8536769138034961,0.9131513647642681,1
11,googlenet,0.89,0.745,0.845,0.8485327016712726,0.9131513647642681,1
11,resnet152,0.865,0.695,0.845,0.8855997169477534,0.9131513647642681,1
11,vgg19,0.895,0.825,0.845,0.8708225108225109,0.9131513647642681,1
13,alexnet,0.855,0.68,0.795,0.7987132352941178,0.8617886178861789,1
13,densenet161,0.855,0.755,0.795,0.8807947019867549,0.8617886178861789,1
13,googlenet,0.835,0.74,0.795,0.846543659043659,0.8617886178861789,1
13,resnet152,0.8,0.72,0.795,0.8830605158730158,0.8617886178861789,1
13,vgg19,0.835,0.77,0.795,0.8320158102766798,0.8617886178861789,1
15,alexnet,0.76,0.605,0.725,0.8014436656554033,0.889153605015674,1
15,densenet161,0.785,0.685,0.725,0.8417332869887614,0.889153605015674,1
15,googlenet,0.78,0.64,0.725,0.8889973958333333,0.889153605015674,1
15,resnet152,0.815,0.715,0.725,0.8390381548276284,0.889153605015674,1
15,vgg19,0.825,0.755,0.725,0.8533585619678334,0.889153605015674,1
16,alexnet,0.81,0.665,0.775,0.8275165525754685,0.853189964157706,1
16,densenet161,0.855,0.76,0.775,0.8908991228070176,0.853189964157706,1
16,googlenet,0.855,0.8,0.775,0.8271875,0.853189964157706,1
16,resnet152,0.81,0.745,0.775,0.840505329648638,0.853189964157706,1
16,vgg19,0.845,0.785,0.775,0.9009035698415049,0.853189964157706,1
18,alexnet,0.835,0.68,0.79,0.8262867647058824,0.8506630500301388,1
18,densenet161,0.835,0.76,0.79,0.858141447368421,0.8506630500301388,1
18,googlenet,0.83,0.69,0.79,0.8514492753623187,0.8506630500301388,1
18,resnet152,0.85,0.75,0.79,0.87,0.8506630500301388,1
18,vgg19,0.85,0.775,0.79,0.8339784946236559,0.8506630500301388,1
19,alexnet,0.855,0.675,0.85,0.7649002849002849,0.9064705882352943,1
19,densenet161,0.875,0.725,0.85,0.8731034482758621,0.9064705882352943,1
19,googlenet,0.87,0.77,0.85,0.80957086391869,0.9064705882352943,1
19,resnet152,0.85,0.695,0.85,0.8311121594527657,0.9064705882352943,1
19,vgg19,0.885,0.76,0.85,0.8266173245614035,0.9064705882352943,1
20,alexnet,0.93,0.705,0.9,0.8080298112753936,0.945,1
20,densenet161,0.94,0.805,0.9,0.8665392578436055,0.945,1
20,googlenet,0.92,0.755,0.9,0.8125422354372211,0.945,1
20,resnet152,0.925,0.755,0.9,0.8701175834572239,0.945,1
20,vgg19,0.94,0.79,0.9,0.8713080168776371,0.945,1
22,alexnet,0.84,0.73,0.74,0.8392947742262811,0.8679833679833681,1
22,densenet161,0.855,0.775,0.74,0.9116845878136202,0.8679833679833681,1
22,googlenet,0.87,0.75,0.74,0.8853333333333333,0.8679833679833681,1
